ticker,announcement_date,timing_class,entry_date,exit_date,signal,position_dir,entry_price,exit_price,holding_period_days,gross_return,transaction_cost,net_return,market_return,abnormal_return
GOOGL,2020-02-03,AMC,2020-02-04,2020-02-11,1,1.0,72.27,75.5,5,0.044728,0.002,0.042728,0.018842,0.025886
NVDA,2020-02-13,AMC,2020-02-14,2020-02-24,1,1.0,7.24,6.83,5,-0.056972,0.002,-0.058972,-0.044964,-0.012008
WMT,2020-02-18,BMO,2020-02-18,2020-02-25,-1,-1.0,39.88,38.13,5,0.043802,0.002,0.041802,-0.071511,-0.02771
JPM,2020-04-14,BMO,2020-04-14,2020-04-21,1,1.0,95.5,89.05,5,-0.067539,0.002,-0.069539,-0.03788,-0.029659
BAC,2020-04-15,BMO,2020-04-15,2020-04-22,-1,-1.0,22.19,21.8,5,0.017576,0.002,0.015576,0.004824,0.0224
GOOGL,2020-04-28,AMC,2020-04-29,2020-05-06,-1,-1.0,67.11,67.27,5,-0.002421,0.002,-0.004421,-0.030558,-0.03298
AMZN,2020-04-30,AMC,2020-05-01,2020-05-08,-1,-1.0,114.3,118.98,5,-0.040931,0.002,-0.042931,0.034124,-0.006807
XOM,2020-05-01,BMO,2020-05-01,2020-05-08,1,1.0,43.14,46.18,5,0.070468,0.002,0.068468,0.034124,0.036344
CVX,2020-05-01,BMO,2020-05-01,2020-05-08,1,1.0,89.44,95.47,5,0.067419,0.002,0.065419,0.034124,0.033295
NVDA,2020-05-21,AMC,2020-05-22,2020-06-01,1,1.0,9.03,8.81,5,-0.024373,0.002,-0.026373,0.03422,-0.058593
COST,2020-05-28,AMC,2020-05-29,2020-06-05,-1,-1.0,308.47,312.04,5,-0.011573,0.002,-0.013573,0.049356,0.037783
JPM,2020-07-14,BMO,2020-07-14,2020-07-21,-1,-1.0,98.21,99.41,5,-0.012219,0.002,-0.014219,0.019096,0.006877
BAC,2020-07-16,BMO,2020-07-16,2020-07-23,1,1.0,23.93,24.54,5,0.025491,0.002,0.023491,0.006764,0.018727
AMZN,2020-07-30,AMC,2020-07-31,2020-08-07,1,1.0,158.23,158.37,5,0.000878,0.002,-0.001122,0.024654,-0.023775
GOOGL,2020-07-30,AMC,2020-07-31,2020-08-07,1,1.0,74.4,74.92,5,0.007003,0.002,0.005003,0.024654,-0.017651
META,2020-07-30,AMC,2020-07-31,2020-08-07,1,1.0,253.67,268.44,5,0.058225,0.002,0.056225,0.024654,0.033571
AAPL,2020-07-30,AMC,2020-07-31,2020-08-07,1,1.0,106.26,111.11,5,0.045666,0.002,0.043666,0.024654,0.021012
XOM,2020-07-31,BMO,2020-07-31,2020-08-07,-1,-1.0,42.08,43.44,5,-0.032319,0.002,-0.034319,0.024654,-0.007665
CVX,2020-07-31,BMO,2020-07-31,2020-08-07,-1,-1.0,83.94,86.8,5,-0.034072,0.002,-0.036072,0.024654,-0.009418
WMT,2020-08-18,BMO,2020-08-18,2020-08-25,1,1.0,44.9,43.54,5,-0.030287,0.002,-0.032287,0.016182,-0.04647
NVDA,2020-08-19,AMC,2020-08-20,2020-08-27,-1,-1.0,12.14,12.63,5,-0.040133,0.002,-0.042133,0.029709,-0.010424
JPM,2020-10-13,BMO,2020-10-13,2020-10-20,1,1.0,100.78,100.37,5,-0.004068,0.002,-0.006068,-0.019279,0.01521
GOOGL,2020-10-29,AMC,2020-10-30,2020-11-06,1,1.0,80.81,87.99,5,0.088868,0.002,0.086868,0.072334,0.016534
META,2020-10-29,AMC,2020-10-30,2020-11-06,1,1.0,263.11,293.41,5,0.115161,0.002,0.113161,0.072334,0.042827
AMZN,2020-10-29,AMC,2020-10-30,2020-11-06,1,1.0,151.81,165.57,5,0.090648,0.002,0.088648,0.072334,0.018314
CVX,2020-10-30,BMO,2020-10-30,2020-11-06,1,1.0,69.5,71.15,5,0.023741,0.002,0.021741,0.072334,-0.048593
XOM,2020-10-30,BMO,2020-10-30,2020-11-06,1,1.0,32.62,32.78,5,0.004905,0.002,0.002905,0.072334,-0.067429
MSFT,2021-01-26,AMC,2021-01-27,2021-02-03,1,1.0,232.9,243.0,5,0.043366,0.002,0.041366,0.019871,0.023495
CVX,2021-01-29,BMO,2021-01-29,2021-02-05,-1,-1.0,85.2,89.26,5,-0.047653,0.002,-0.049653,0.047667,1.4e-05
AMZN,2021-02-02,AMC,2021-02-03,2021-02-10,1,1.0,165.63,164.33,5,-0.007834,0.002,-0.009834,0.021553,-0.029387
XOM,2021-02-02,BMO,2021-02-02,2021-02-09,1,1.0,45.63,50.63,5,0.109577,0.002,0.107577,0.022802,0.086775
GOOGL,2021-02-02,AMC,2021-02-03,2021-02-10,1,1.0,102.94,104.32,5,0.013405,0.002,0.011405,0.021553,-0.008148
WMT,2021-02-18,BMO,2021-02-18,2021-02-25,-1,-1.0,45.89,43.98,5,0.041479,0.002,0.039479,-0.021473,0.020006
COST,2021-03-04,AMC,2021-03-05,2021-03-12,-1,-1.0,317.32,331.14,5,-0.043552,0.002,-0.045552,0.027188,-0.016365
