gross_return,transaction_cost,net_return,turnover,long_exposure,short_exposure,gross_exposure,net_exposure,benchmark_return,cumulative_gross,cumulative_net,cumulative_benchmark
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011965900797467954,-0.00017594564739242813,-0.00021593773928507698,0.014575627367961808
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026967544005278565,-0.00017594564739242813,-0.00021593773928507698,0.017311688655734736
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002347167371829162,-0.00017594564739242813,-0.00021593773928507698,0.014923887853141471
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009312782358081861,-0.00017594564739242813,-0.00021593773928507698,0.024375653130735975
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101019082897178,-0.00017594564739242813,-0.00021593773928507698,0.03472289115106486
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.805051363421242e-05,-0.00017594564739242813,-0.00021593773928507698,0.034772610117453695
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011056955608520491,-0.00017594564739242813,-0.00021593773928507698,0.033628466635955645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007026695170106345,-0.00017594564739242813,-0.00021593773928507698,0.04089145879015099
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031542170999507846,-0.00017594564739242813,-0.00021593773928507698,0.04417465642865959
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009528928673046,-0.00017594564739242813,-0.00021593773928507698,0.04516964301099069
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005378414326441039,-0.00017594564739242813,-0.00021593773928507698,0.039548287629459056
0.0,4e-05,-4e-05,0.04,0.0,0.0,0.0,0.0,0.0,-0.00017594564739242813,-0.00025592910177552053,0.039548287629459056
-0.00024782583107452183,0.0,-0.00024782583107452183,0.0,0.0,0.04,0.04,-0.04,-0.0017227382315576634,-0.0004237278745906625,-0.0005036915070076864,0.037757418050809566
